"","X","coefficients","r_squared","p_value","gene","p_adj"
"1",1,0.292145049349939,0.279491357980975,1.65314752281262e-47,"SCG2",4.99250551889411e-45
"2",2,1.70491658042495,0.26884551773527,1.84092148562832e-45,"LINC00486",2.77979144329876e-43
"3",3,28.4862876779968,0.239241469955421,6.39915766841566e-40,"MALAT1",6.44181871953843e-38
"4",4,0.177800929977238,0.215559085638639,1.22671947178842e-35,"SCG5",9.26173201200257e-34
"5",5,0.459060633525821,0.206204379083068,5.56863510543852e-34,"ATP1B1",2.8650915560078e-32
"6",6,3.05929679754123,0.206150241363137,5.6922348794857e-34,"ERBB4",2.8650915560078e-32
"7",7,1.40186533960845,0.204376158461901,1.1677849078016e-33,"CCK",5.0381577450869e-32
"8",8,0.372314872035841,0.193339334241248,9.85879767662359e-32,"DLX6.AS1",3.72169612292541e-30
"9",9,0.328686631892041,0.192080038329477,1.62932348406939e-31,"RTN1",5.46728546876618e-30
"10",10,0.242197966939642,0.186453799376111,1.52335930901245e-30,"SARAF",4.6005451132176e-29
"11",11,0.198020356660645,0.174871339797296,1.4491746850379e-28,"NGFRAP1",3.97864322619496e-27
"12",12,0.982920885923393,0.173328933106562,2.6457711336495e-28,"NPAS3",6.65852401968457e-27
"13",13,1.17650241874859,0.167531652245133,2.51771494746029e-27,"ADARB2",5.84884549333083e-26
"14",14,0.254792657288142,0.166137728758901,4.31815768975079e-27,"GABRB1",9.31488301646242e-26
"15",15,0.300705234911102,0.165440886517058,5.65306808025554e-27,"RGS12",1.13815104015812e-25
"16",16,0.218005703895142,0.160085322210428,4.4491761807119e-26,"CCDC85A",8.39782004109371e-25
"17",17,0.733567644400741,0.153475409329755,5.5804803890395e-25,"SNTG1",9.91355927935252e-24
"18",18,0.249702840699596,0.143218710959049,2.72342297692027e-23,"DOCK10",4.56929855016623e-22
"19",19,0.106156984361842,0.140513878121832,7.53728339280365e-23,"IGF1",1.19803136032984e-21
"20",20,0.214519266388926,0.138296568066993,1.73244850953675e-22,"PCSK1N",2.61599724940049e-21
"21",21,0.345064810475988,0.134939943522199,6.08386250629207e-22,"VIP",8.74917369952479e-21
"22",22,0.182165056845694,0.13439950107732,7.44437138943159e-22,"TSPAN7",1.01649377037613e-20
"23",23,0.152811320238491,0.134294657494656,7.74150884723543e-22,"GABRA1",1.01649377037613e-20
"24",24,0.146549369266627,0.13310728843862,1.20557018028789e-21,"LY6H",1.51700914352893e-20
"25",25,0.183522196507742,0.131554692080508,2.1496213945116e-21,"GAD1",2.59674264457001e-20
"26",26,0.340591243865184,0.131372296301087,2.30060225075278e-21,"CHRM3",2.67223799895131e-20
"27",27,0.142137905366759,0.129410813740118,4.76983415628248e-21,"NDUFA4",5.33514783406411e-20
"28",28,0.317484692550322,0.12929837256236,4.97319861466514e-21,"ZEB2",5.36394993438883e-20
"29",29,0.203630446310034,0.126713375791097,1.29689339879071e-20,"LINC00632",1.35055795322343e-19
"30",30,0.263600385123663,0.124736187230702,2.69483181050885e-20,"GRIN2B",2.71279735591224e-19
"31",31,0.14601867337318,0.123907362707627,3.66001819548576e-20,"SLC22A17",3.56556611302161e-19
"32",32,0.0827863879543319,0.123340712131947,4.51142015100955e-20,"SCG3",4.25765276751526e-19
"33",33,0.140210984188996,0.121886565714321,7.71182411315805e-20,"AP1S2",7.05748752173858e-19
"34",34,0.182846449527214,0.121350871150027,9.39390081128777e-20,"SLC6A1.AS1",8.3439942500262e-19
"35",35,0.297025106432319,0.120928633314083,1.09736952923627e-19,"NTRK2",9.46873136655296e-19
"36",36,0.0965588583871443,0.118312005807328,2.8710420659398e-19,"HACD3",2.4084852886495e-18
"37",37,0.108222008071615,0.118024032925226,3.19109143650529e-19,"ITM2C",2.60462057790432e-18
"38",38,2.10150405817329,0.117651059147986,3.65903828495907e-19,"CNTNAP2",2.90797253173063e-18
"39",39,0.140815074195367,0.116718111362187,5.15131886971938e-19,"RPL10",3.98896999655193e-18
"40",40,0.155486079655629,0.114902391259455,1.00144213088423e-18,"RPS27A",7.55889201300427e-18
"41",41,0.126879747003109,0.114835604476253,1.02620719381846e-18,"ACTG1",7.55889201300427e-18
"42",42,0.0835511632966895,0.114619518000025,1.11059528410836e-18,"TMBIM6",7.9857089476363e-18
"43",43,0.218431737177852,0.11391887924792,1.43478103655525e-18,"DNER",1.00768342567369e-17
"44",44,0.152455641075861,0.112888538088981,2.09032437063514e-18,"UCHL1",1.43472263620866e-17
"45",45,0.124713534960134,0.111906116294735,2.99145431718995e-18,"APOO",2.00759823064748e-17
