"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LINGO1",7.37273430571088e-121,3.76510313901177,0.907,0.555,1.66756504526569e-116
"HSPA1A",1.13979033696743e-75,4.76488250586126,0.564,0.126,2.57797778415294e-71
"CRYAB",6.96150184166683e-62,3.23281188051079,0.667,0.359,1.5745524865482e-57
"MALAT1",7.98739344970725e-62,-0.776951727057734,1,1,1.80658865045479e-57
"DLX6-AS1",2.71783654084617e-58,-2.32687217746853,0.106,0.556,6.14720268808586e-54
"CCK",2.26794509690387e-54,-2.87298835450464,0.174,0.599,5.12963822017718e-50
"GFAP",5.28231919982641e-53,3.99044391949055,0.479,0.127,1.19475495661674e-48
"LINC00486",2.16051802752822e-44,1.33964254516665,0.943,0.966,4.88665967466333e-40
"SPP1",2.28225856312152e-43,3.1215428489414,0.503,0.199,5.16201241806825e-39
"BOK",2.85736505394841e-43,4.60038813747835,0.34,0.05,6.46278827902052e-39
"GRIK2",2.50014136472726e-41,-0.906520004795807,0.583,0.933,5.65481973874012e-37
"SUN2",6.75125651971807e-41,3.27723787121196,0.454,0.157,1.52699919962983e-36
"SLC6A1-AS1",7.79178062163631e-41,-3.74033180808484,0.027,0.331,1.7623449410017e-36
"ANKS1B",1.2221252017776e-40,-0.9615564362661,0.583,0.922,2.76420278138057e-36
"MEG3",1.54326353500272e-40,-0.736119333227647,0.832,0.968,3.49055346346915e-36
"CNTNAP2",1.23301520186402e-39,-0.981159893090084,0.775,0.931,2.78883378357605e-35
"MT-ND4",7.38609978774758e-37,1.9081501539486,0.685,0.47,1.67058804999275e-32
"NSF",6.66301976745578e-35,-1.08091689275994,0.209,0.597,1.50704181100315e-30
"NRXN3",4.62922632433859e-34,-0.667145661543588,0.792,0.977,1.0470384100389e-29
"INPP4B",7.28771647750302e-34,-1.37705492256304,0.265,0.622,1.64833571288163e-29
"MT-ATP6",2.29102523954994e-33,2.24051243666257,0.54,0.269,5.18184088681406e-29
"HDAC9",2.55616105384907e-33,-0.984456855192764,0.242,0.633,5.78152507159582e-29
"DAB1",9.60503601283283e-33,-0.907852183396473,0.42,0.794,2.17246704538253e-28
"FSTL5",1.19530699718786e-32,-1.04109642920887,0.354,0.735,2.7035453662395e-28
